LON,LAT,EDO,CLAVE,ESTACION,sep-24
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",124.31
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",171.21
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",81.63
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",28.94
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",77.71
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",150.42
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",71.50
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",130.42
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",44.40
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",28.40
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",36.00
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",15.54
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",50.11
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",14.20
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.00
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",4.32
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.01
-116.584444,32.243056,BC,CSRBN,"Carmen Serdán, B.C.",0.00
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0.01
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0.40
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",0.20
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0.00
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",15.60
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.00
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.02
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.01
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.00
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",14.19
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.00
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",0.20
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",1.60
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",0.00
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.02
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",2.02
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.00
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",21.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.40
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",2.41
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",33.31
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",0.00
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.00
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",8.80
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",95.51
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",17.01
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",34.00
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",100.80
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",8.90
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",22.22
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",19.00
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",229.02
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",280.00
