LON,LAT,EDO,CLAVE,ESTACION,jul-24
-89.829444,20.752778,YUC,CHOYC,"Chocholá, Yuc.",113.7
-89.637778,21.030278,YUC,CICYC,"Centro de Investigación Científica, Yuc.",80.8
-89.501111,21.078889,YUC,CONYC,"Conkal, Yuc.",123.69
-87.676667,21.5125,YUC,CYOYC,"El Cuyo, Yuc.",255.2
-89.583611,20.983889,YUC,EZAYC,"Emiliano Zapata, Yuc.",191.3
-89.642778,21.048889,YUC,FIYYC,"Facultad de Ingeniería Universidad Autónoma de Yucatán, Yuc.",135.5
-89.658056,20.984167,YUC,GARYC,"Organismo de Cuenca Península de Yucatán, Yuc.",126.01
-89.651111,20.946389,YUC,MEOYC,"Observatorio de Mérida, Yuc.",83.32
-89.4375,21.105556,YUC,MOCYC,"Mocochá, Yuc.",182.2
-89.299444,21.102222,YUC,MTOYC,"Motul, Yuc.",99.72
-89.711667,20.493333,YUC,MUNYC,"Muna, Yuc.",109.52
-89.394722,20.290556,YUC,OXKYC,"Oxkutzcab, Yuc.",149.52
-88.930833,20.1325,YUC,PETYC,"Peto, Yuc.",152.04
-89.653889,21.275833,YUC,PROYC,"Observatorio de Progreso, Yuc.",70.92
-89.558056,20.397778,YUC,TICYC,"Ticul, Yuc.",122
-88.1725,21.158611,YUC,TIZYC,"Tizimín, Yuc.",213.23
-88.216667,20.683333,YUC,VALLADOLIDob,"Observatorio de Valladolid, Yuc. SMN*",193.6
-88.204167,20.69,YUC,VALYC,"Observatorio de Valladolid, Yuc.",207.23
-102.733889,23.602222,ZAC,CFPZC,"Cañitas de Felipe Pescador, Zac",143
-102.896111,21.997222,ZAC,CHIZC,"El Chique, Zac.",199.22
-101.389444,24.621389,ZAC,CORZC,"Concepción del Oro, Zac.",60
-103.098333,23.693333,ZAC,ELCZC,"El Cazadero, Zac.",126.83
-102.040833,22.673056,ZAC,ELSZC,"El Saladillo, Zac.",204.01
-103.35,21.645833,ZAC,EXCZC,"Miguel Alemán, Zac.",207.91
-102.890833,23.173889,ZAC,FREZC,"Fresnillo, Zac.",112.4
-102.506667,22.745556,ZAC,GPEZC,"Guadalupe, Zac.",170.97
-103.397778,24.281667,ZAC,JALZC,"Juan Aldama, Zac.",124.7
-103.001944,22.642778,ZAC,JERZC,"Jerez, Zac.",109.71
-102.566944,22.778889,ZAC,LBUZC,"Observatorio de Zacatecas, Zac.",176.6
-103.603056,22.687222,ZAC,LFLZC,"La Florida, Zac.",157.05
-102.660556,22.996944,ZAC,LLBZC,"Llano Blanco, Zac.",195.82
-103.382778,22.845278,ZAC,LOBZC,"Manuel Felgueres, Zac.",119.4
-101.985556,22.264722,ZAC,LORZC,"Loreto, Zac.",133.24
-103.216944,23.18,ZAC,LREZC,"Gobernador Leobardo Reynoso, Zac.",62.86
-103.443056,24.2875,ZAC,MGAZC,"Miguel Auza, Zac.",100.4
-102.845556,21.3575,ZAC,NCTZC,"Nochistlán, Zac.",217.51
-102.798056,22.347778,ZAC,PALZC,"Palomas, Zac.",202.65
-101.399167,22.117778,ZAC,PINZC,"Pino Suárez, Zac.",141.7
-102.903611,21.711111,ZAC,PMOZC,"Los Moraleños, Zac.",114.16
-103.025833,23.816944,ZAC,RGRZC,"Río Grande, Zac.",251
