LON,LAT,EDO,CLAVE,ESTACION,feb-24
-108.7025,26.426944,SIN,JORSI,"Josefa Ortiz de Domínguez, Sin.",2
-106.9,23.916667,SIN,LCRSI,"La Cruz, Sin.",8.01
-108.35,26.904167,SIN,LD2SI,"Huites hidrométrica, Sin.",5.5
-108.367778,26.844722,SIN,LDCSI,"Luis Donaldo Colosio, Sin.",5.5
-109,25.8,SIN,MCHSI,"Los Mochis, Sin.",0.3
-108.583333,26.5,SIN,MHGSI,"Miguel Hidalgo, Sin.",7.7
-106.4,23.233333,SIN,MZTSI,"Observatorio de Mazatlán, Sin.",21.9
-107.188056,24.251111,SIN,OBISPO,"Obispo, Sin. SMN*",0.6
-107.440556,24.634722,SIN,OBSSI,"Observatorio de Culiacán, Sin.",8.31
-108.58,26.509722,SIN,PMHSI,"Miguel Hidalgo, Sin.",7.7
-106.466667,23.5625,SIN,QLTSI,"Quelite, Sin.",16.51
-107.755833,25.124722,SIN,RAVSI,"Estación Rancho Viejo, Sin.",2
-105.85,22.983333,SIN,RSRSI,"Rosario, Sin.",36
-107.843333,25.485556,SIN,SANJUAN,"San Juan, Sin. SMN*",1.25
-106.952778,24.484722,SIN,SCRSI,"Santa Cruz, Sin.",0.01
-108.779167,26.073611,SIN,SFRSI,"Sufragio, Sin.",3
-107.8425,25.486667,SIN,SJNSI,"San Juan, Sin.",2.61
-107.1,24.45,SIN,SLRSI,"San Lorenzo, Sin.",11.02
-106.695833,24.121944,SIN,SLTSI,"Ing. Aurelio Benassini Vizcaíno, Sin.",23
-107.158333,24.813889,SIN,SN2SI,"Sanalona hidrométrica, Sin.",10
-107.151389,24.815,SIN,SNLSI,"Sanalona, Sin.",10
-106.25,23.35,SIN,SQRSI,"Siqueros, Sin.",24.22
-109.070278,25.590833,SIN,TOPOLOBAMPOmar,"Topolobampo, Sin. SEMAR*",0.25
-105.846944,23.088333,SIN,TORSI,"Las Tortugas, Sin.",36.51
-107.059722,24.7475,SIN,VINSI,"Vinoramas, Sin.",11
-108.358611,25.739167,SIN,ZOPSI,"El Zopilote, Sin.",0
-98.558333,21.972222,SLP,AJTSL,"Las Adjuntas, S.L.P.",7.5
-98.955833,21.748889,SLP,BLMSL,"Ballesmi, S.L.P.",13.7
-99.016667,21.983333,SLP,CDVSL,"Ciudad Valles, S.L.P.",3
-99.239444,21.906944,SLP,GANSL,"Gallinas, S.L.P.",11.6
-100.820556,21.88,SLP,IVGSL,"Valentín Gama, S.L.P.",9
-100.665833,23.6475,SLP,MA2SL,"Matehuala, S.L.P. SMN*",42.2
-100.642778,23.656944,SLP,MATSL,"Matehuala, S.L.P.",38.72
-99.159444,22.12,SLP,MICSL,"Micos, S.L.P.",9.9
-98.8,21.333333,SLP,MTPSL,"Observatorio de Matlapa, S.L.P.",32.91
-99.32,22.523333,SLP,NRJSL,"Naranjos, S.L.P.",6.2
-100.762222,21.849722,SLP,OCTSL,"Ojo Caliente, S.L.P.",9
-99.830556,21.651111,SLP,PMYSL,"Pedro Montoya, S.L.P.",17.02
-98.939722,21.847222,SLP,PUJSL,"El Pujal, S.L.P.",6.3
-98.888611,21.425,SLP,RQTSL,"Requetemu, S.L.P.",0
-99.995,21.931389,SLP,RVDSL,"Observatorio de Río Verde, S.L.P.",20.3
-101,22.2,SLP,SGRSL,"Soledad Graciano, S.L.P.",6.5
-101.019167,22.148056,SLP,SLPSL,"Observatorio de San Luis Potosí, S.L.P.",9.2
-99.055833,22.02,SLP,STRSL,"Santa Rosa, S.L.P.",13.2
-98.617222,21.692778,SLP,SVTSL,"San Vicente, S.L.P.",0.9
